School,Conference,Attendance_Pct_FB,5_Year_Pct_Change,Majority_city,Instagram_Followers_FB (Thousands),Instagram_Followers_BB (Thousands),Donation_Revenue (Millions),Season_Ticket_Price,Win_Pct_Since_2003,Win_Val_AllTime_Fb,Win_Pct_AllTime_Fb,Graduate_Earnings(Thousands),Attendence_Pct_MBB,WBB_Capacity_Pct,Total_Revenue,Football_Revenue,MBB_Revenue,WBB_Revenue,Rights_Licensing,Football_Expense,MBB_Expense,WBB_Expense,Ticket_Sales_Pct,Football_Stadium_Capacity(22-25),Data_Complete,Alumni_amount,City 1,City 2,City 3,Occupation,Regional_occuptation,Regional_income,Regional _Populations,City 1_lat,City 1_lon,City 2_lat,City 2_lon,City 3_lat,City 3_lon
Auburn,SEC,100.0,1.62,"Auburn, AL",448,231.0,41.97,,62.2,0.621,62.1,73,100.0,,,,,,,,,,,99.19,NO,197311,"Columbus, AL",,,Business Development,Management,"65,824",181000,33.758157,-86.753326,,,,
Florida,SEC,101.78,3.2,"Miami, FL",573,207.0,54.65,,64.6,0.623,62.3,77,89.5,,,,,,,,,,,100.74,NO,376215,"Gainseville, FL","Miami, FL",,Business Development,,,,29.6519756,-82.3250209,25.775084,-80.194702,,
Georgia,SEC,100.0,0.23,"Atlanta, GA",1200,112.0,83.85,,78.3,0.669,66.9,74,76.3,,,,,,,,,,,100.16,NO,203639,"Atlanta, GA","Athens, GA",,Business Development,,,,33.748547,-84.391502,33.957412,-83.376798,,
Kentucky,SEC,94.72,-0.44,"Lexington, KY",239,574.0,42.5,,47.0,0.496,49.6,66,96.6,,,,,,,,,,,98.47,NO,"176,236","Lexington, KY ","Louisville, KY",,Business Development,,,,38.046356,-84.497021,38.256078,-85.751569,,
LSU,SEC,99.27,2.29,"Baton Rouge, LA",1300,143.0,73.15,,74.6,0.49,49.0,67,69.9,,,,,,,,,,,79.85,NO,218524,"Baton Rouge, LA",,,Business Development,,,,30.443319,-91.187488,,,,
Mississippi State,SEC,88.19,1.21,"Starkville, MS",209,58.3,26.18,,48.4,0.49,49.0,59,74.0,,,,,,,,,,,84.29,NO,"119,087","Jackson, MS","Starkville, MS",,Operations ,Sales,"46,695",51896,32.302897,-90.183488,33.465865,-88.8102656,,
Missouri,SEC,91.54,3.1,"St. Louis, MO",225,92.0,31.63,,61.4,0.547,54.7,70,66.1,,,,,,,,,,,96.95,NO,199441,"St. Louis, MO","Columbus, MO",,Business Development,Health care and Social Assistance,"72,758","191,746",38.635355,-90.2009855,38.856622,-93.891134,,
Oklahoma,SEC,104.25,1.34,"Oklahoma City, OK",627,106.0,62.6,,77.3,0.723,72.3,73,64.0,,,,,,,,,,,104.4,NO,"174,964","Oklahoma City, OK","Norman, OK",,Business Development,,,,35.468494,-97.521264,35.221051,-97.445943,,
South Carolina,SEC,102.29,4.21,"Columbia, SC",353,86.4,34.48,,55.2,0.509,50.9,68,59.5,,,,,,,,,,,100.66,NO,189192,"Columbia, SC",,,Business Development,Fast food and Counter Workers,"63,784",434956,34.009286,-81.037094,,,,
Tennessee,SEC,100.0,6.47,"Knoxville, TN",808,265.0,59.0,,57.8,0.67,67.0,68,87.7,,,,,,,,,,,99.66,NO,187713,"Knoxville, TN","Nashville, TN",,Business Development,,,,35.9626444,-83.9167239,36.1663493,-86.7790541,,
Texas,SEC,102.24,3.93,"Austin, TX",1200,155.0,101.41,,69.0,0.704,70.4,79,112.5,,,,,,,,,,,101.53,NO,"488,312","Austin, TX","Houston, TX",,Business development,General Managers,,,30.264979,-97.746598,29.7608026,-95.3695062,,
Texas A&M,SEC,103.33,5.36,"Houston, TX",449,74.2,86.1,,60.2,0.605,60.5,76,69.6,,,,,,,,,,,97.86,NO,"653,150","Houston, TX","Dallas, TX",,Business Development,,,,29.7608026,-95.3695062,32.7779765,-96.7962148,,
Ole Miss,SEC,104.27,11.93,"Oxford, MS",373,68.0,36.73,,55.6,0.557,55.7,66,72.7,,,,,,,,,,,98.95,,"107,625","Oxford, MS",,,Business Development,Cashiers/Retail salespersons,"67,185",59597,34.3668,-89.518625,,,,
